Country,Population 2026,Land Area (Km²),Density (P/Km²)
Afghanistan,"45,047,069","652,860",69
Albania,"2,751,025","27,400",100
Algeria,"48,028,334","2,381,740",20
Andorra,"83,753",470,178
Angola,"40,215,179","1,246,700",32
Antigua and Barbuda,"94,626",440,215
Argentina,"46,003,734","2,736,690",17
Armenia,"2,930,915","28,470",103
Australia,"27,227,096","7,682,300",4
Austria,"9,107,266","82,409",111
Azerbaijan,"10,454,855","82,658",126
Bahamas,"404,628","10,010",40
Bahrain,"1,675,572",760,"2,205"
Bangladesh,"177,818,044","130,170","1,366"
Barbados,"282,724",430,657
Belarus,"8,937,018","202,910",44
Belgium,"11,774,642","30,280",389
Belize,"428,644","22,810",19
Benin,"15,170,419","112,760",135
Bhutan,"802,214","38,117",21
Bolivia,"12,749,291","1,083,300",12
Bosnia and Herzegovina,"3,114,242","51,000",61
Botswana,"2,603,388","566,730",5
Brazil,"213,562,666","8,358,140",26
Brunei,"469,775","5,270",89
Bulgaria,"6,667,659","108,560",61
Burkina Faso,"24,601,700","273,600",90
Burundi,"14,729,157","25,680",574
Cabo Verde,"529,630","4,030",131
Cambodia,"18,051,219","176,520",102
Cameroon,"30,640,817","472,710",65
Canada,"40,467,728","9,093,510",4
Central African Republic,"5,698,984","622,980",9
Chad,"21,560,380","1,259,200",17
Chile,"19,945,850","743,532",27
China,"1,412,914,089","9,388,211",150
Colombia,"53,936,226","1,109,500",49
Comoros,"899,010","1,861",483
Congo (Congo-Brazzaville),"6,637,785","341,500",19
Costa Rica,"5,174,789","51,060",101
Côte d'Ivoire,"33,494,346","318,000",105
Croatia,"3,822,345","55,960",68
Cuba,"10,892,659","106,440",102
Cyprus,"1,382,334","9,240",150
Czechia (Czech Republic),"10,527,781","77,240",136
Democratic Republic of the Congo,"116,452,162","2,267,050",51
Denmark,"6,023,520","42,430",142
Djibouti,"1,199,459","23,180",52
Dominica,"65,511",750,87
Dominican Republic,"11,609,500","48,320",240
Ecuador,"18,444,506","248,360",74
Egypt,"120,101,175","995,450",121
El Salvador,"6,391,253","20,720",308
Equatorial Guinea,"1,984,468","28,050",71
Eritrea,"3,682,669","101,000",36
Estonia,"1,331,062","42,390",31
"Eswatini (fmr. """"Swaziland"""")","1,269,859","17,200",74
Ethiopia,"138,902,185","1,000,000",139
Fiji,"937,282","18,270",51
Finland,"5,621,739","303,890",18
France,"66,746,401","547,557",122
Gabon,"2,647,399","257,670",10
Gambia,"2,884,079","10,120",285
Georgia,"3,804,642","69,490",55
Germany,"83,644,258","348,560",240
Ghana,"35,697,557","227,540",157
Greece,"9,897,115","128,900",77
Grenada,"117,362",340,345
Guatemala,"18,967,978","107,160",177
Guinea,"15,441,993","245,720",63
Guinea-Bissau,"2,297,808","28,120",82
Guyana,"840,890","196,850",4
Haiti,"12,037,506","27,560",437
Holy See,506,0,"1,265"
Honduras,"11,184,760","111,890",100
Hungary,"9,585,818","90,530",106
Iceland,"402,329","100,250",4
India,"1,476,625,576","2,973,190",497
Indonesia,"287,886,782","1,811,570",159
Iran,"93,168,497","1,628,550",57
Iraq,"48,007,437","434,320",111
Ireland,"5,356,950","68,890",78
Israel,"9,647,689","21,640",446
Italy,"58,926,166","294,140",200
Jamaica,"2,833,403","10,830",262
Japan,"122,427,731","364,555",336
Jordan,"11,589,532","88,780",131
Kazakhstan,"21,083,626","2,699,700",8
Kenya,"58,636,412","569,140",103
Kiribati,"138,445",810,171
Kuwait,"5,102,773","17,820",286
Kyrgyzstan,"7,400,465","191,800",39
Laos,"7,974,017","230,800",35
Latvia,"1,835,935","62,200",30
